from_node,to_node,from_x,from_y,to_x,to_y,is_in_tour
0,1,2854,2955,1479,1350,0
0,2,2854,2955,945,742,0
0,3,2854,2955,2332,64,0
0,4,2854,2955,2560,974,0
0,5,2854,2955,2388,2693,0
0,6,2854,2955,2587,1992,0
0,7,2854,2955,2109,1470,0
0,8,2854,2955,1367,2357,0
0,9,2854,2955,1248,421,0
0,10,2854,2955,1602,2465,0
0,11,2854,2955,923,1704,0
0,12,2854,2955,1944,2270,0
0,13,2854,2955,1628,1212,0
0,14,2854,2955,1182,916,0
0,15,2854,2955,559,2145,0
0,16,2854,2955,145,651,0
0,17,2854,2955,1877,949,0
0,18,2854,2955,2154,1493,0
0,19,2854,2955,2202,897,0
0,20,2854,2955,699,1621,0
0,21,2854,2955,2574,2660,0
0,22,2854,2955,2278,2399,0
0,23,2854,2955,35,285,0
0,24,2854,2955,61,2982,0
0,25,2854,2955,1572,2827,0
0,26,2854,2955,1399,2351,0
0,27,2854,2955,962,2990,0
0,28,2854,2955,2667,1049,0
0,29,2854,2955,345,28,0
0,30,2854,2955,843,1060,0
0,31,2854,2955,230,720,0
0,32,2854,2955,2851,1327,0
0,33,2854,2955,2858,5,0
0,34,2854,2955,2325,443,0
0,35,2854,2955,1775,1383,0
0,36,2854,2955,1095,863,0
0,37,2854,2955,2862,616,0
0,38,2854,2955,353,2995,0
0,39,2854,2955,2287,1619,0
0,40,2854,2955,1857,2719,0
0,41,2854,2955,1633,84,0
0,42,2854,2955,1891,2492,0
0,43,2854,2955,796,377,0
0,44,2854,2955,1304,37,0
0,45,2854,2955,2511,739,0
0,46,2854,2955,2643,2389,0
0,47,2854,2955,2330,461,0
0,48,2854,2955,2478,1857,0
0,49,2854,2955,1718,581,0
0,50,2854,2955,1789,2077,0
0,51,2854,2955,1404,1835,0
0,52,2854,2955,848,916,0
0,53,2854,2955,1882,1764,0
0,54,2854,2955,1722,1035,0
0,55,2854,2955,1492,625,0
0,56,2854,2955,356,1658,0
0,57,2854,2955,2604,2937,0
0,58,2854,2955,2200,814,0
0,59,2854,2955,1497,734,0
0,60,2854,2955,297,1147,0
0,61,2854,2955,2653,268,0
0,62,2854,2955,161,299,0
0,63,2854,2955,1726,2023,0
0,64,2854,2955,1063,252,0
0,65,2854,2955,1253,1981,0
0,66,2854,2955,1209,1503,0
0,67,2854,2955,1114,1346,0
0,68,2854,2955,1392,1357,0
0,69,2854,2955,2979,2849,1
0,70,2854,2955,2459,1090,0
0,71,2854,2955,2981,2378,0
0,72,2854,2955,2195,2764,0
0,73,2854,2955,417,1839,0
0,74,2854,2955,124,2564,0
0,75,2854,2955,245,2634,0
0,76,2854,2955,657,752,0
0,77,2854,2955,739,1951,0
0,78,2854,2955,2653,514,0
0,79,2854,2955,1557,2819,0
0,80,2854,2955,1586,854,0
0,81,2854,2955,914,1627,0
0,82,2854,2955,815,1199,0
0,83,2854,2955,1126,130,0
0,84,2854,2955,1684,325,0
0,85,2854,2955,1585,158,0
0,86,2854,2955,2879,631,0
0,87,2854,2955,2282,2259,0
0,88,2854,2955,1693,810,0
0,89,2854,2955,2754,1322,0
0,90,2854,2955,1856,333,0
0,91,2854,2955,2536,1787,0
0,92,2854,2955,2092,606,0
0,93,2854,2955,2494,772,0
0,94,2854,2955,753,653,0
0,95,2854,2955,2323,1915,0
0,96,2854,2955,2654,1285,0
0,97,2854,2955,2525,902,0
0,98,2854,2955,1095,2477,0
0,99,2854,2955,742,2969,0
1,0,1479,1350,2854,2955,0
1,2,1479,1350,945,742,0
1,3,1479,1350,2332,64,0
1,4,1479,1350,2560,974,0
1,5,1479,1350,2388,2693,0
1,6,1479,1350,2587,1992,0
1,7,1479,1350,2109,1470,0
1,8,1479,1350,1367,2357,0
1,9,1479,1350,1248,421,0
1,10,1479,1350,1602,2465,0
1,11,1479,1350,923,1704,0
1,12,1479,1350,1944,2270,0
1,13,1479,1350,1628,1212,1
1,14,1479,1350,1182,916,0
1,15,1479,1350,559,2145,0
1,16,1479,1350,145,651,0
1,17,1479,1350,1877,949,0
1,18,1479,1350,2154,1493,0
1,19,1479,1350,2202,897,0
1,20,1479,1350,699,1621,0
1,21,1479,1350,2574,2660,0
1,22,1479,1350,2278,2399,0
1,23,1479,1350,35,285,0
1,24,1479,1350,61,2982,0
1,25,1479,1350,1572,2827,0
1,26,1479,1350,1399,2351,0
1,27,1479,1350,962,2990,0
1,28,1479,1350,2667,1049,0
1,29,1479,1350,345,28,0
1,30,1479,1350,843,1060,0
1,31,1479,1350,230,720,0
1,32,1479,1350,2851,1327,0
1,33,1479,1350,2858,5,0
1,34,1479,1350,2325,443,0
1,35,1479,1350,1775,1383,0
1,36,1479,1350,1095,863,0
1,37,1479,1350,2862,616,0
1,38,1479,1350,353,2995,0
1,39,1479,1350,2287,1619,0
1,40,1479,1350,1857,2719,0
1,41,1479,1350,1633,84,0
1,42,1479,1350,1891,2492,0
1,43,1479,1350,796,377,0
1,44,1479,1350,1304,37,0
1,45,1479,1350,2511,739,0
1,46,1479,1350,2643,2389,0
1,47,1479,1350,2330,461,0
1,48,1479,1350,2478,1857,0
1,49,1479,1350,1718,581,0
1,50,1479,1350,1789,2077,0
1,51,1479,1350,1404,1835,0
1,52,1479,1350,848,916,0
1,53,1479,1350,1882,1764,0
1,54,1479,1350,1722,1035,0
1,55,1479,1350,1492,625,0
1,56,1479,1350,356,1658,0
1,57,1479,1350,2604,2937,0
1,58,1479,1350,2200,814,0
1,59,1479,1350,1497,734,0
1,60,1479,1350,297,1147,0
1,61,1479,1350,2653,268,0
1,62,1479,1350,161,299,0
1,63,1479,1350,1726,2023,0
1,64,1479,1350,1063,252,0
1,65,1479,1350,1253,1981,0
1,66,1479,1350,1209,1503,0
1,67,1479,1350,1114,1346,0
1,68,1479,1350,1392,1357,0
1,69,1479,1350,2979,2849,0
1,70,1479,1350,2459,1090,0
1,71,1479,1350,2981,2378,0
1,72,1479,1350,2195,2764,0
1,73,1479,1350,417,1839,0
1,74,1479,1350,124,2564,0
1,75,1479,1350,245,2634,0
1,76,1479,1350,657,752,0
1,77,1479,1350,739,1951,0
1,78,1479,1350,2653,514,0
1,79,1479,1350,1557,2819,0
1,80,1479,1350,1586,854,0
1,81,1479,1350,914,1627,0
1,82,1479,1350,815,1199,0
1,83,1479,1350,1126,130,0
1,84,1479,1350,1684,325,0
1,85,1479,1350,1585,158,0
1,86,1479,1350,2879,631,0
1,87,1479,1350,2282,2259,0
1,88,1479,1350,1693,810,0
1,89,1479,1350,2754,1322,0
1,90,1479,1350,1856,333,0
1,91,1479,1350,2536,1787,0
1,92,1479,1350,2092,606,0
1,93,1479,1350,2494,772,0
1,94,1479,1350,753,653,0
1,95,1479,1350,2323,1915,0
1,96,1479,1350,2654,1285,0
1,97,1479,1350,2525,902,0
1,98,1479,1350,1095,2477,0
1,99,1479,1350,742,2969,0
2,0,945,742,2854,2955,0
2,1,945,742,1479,1350,0
2,3,945,742,2332,64,0
2,4,945,742,2560,974,0
2,5,945,742,2388,2693,0
2,6,945,742,2587,1992,0
2,7,945,742,2109,1470,0
2,8,945,742,1367,2357,0
2,9,945,742,1248,421,0
2,10,945,742,1602,2465,0
2,11,945,742,923,1704,0
2,12,945,742,1944,2270,0
2,13,945,742,1628,1212,0
2,14,945,742,1182,916,0
2,15,945,742,559,2145,0
2,16,945,742,145,651,0
2,17,945,742,1877,949,0
2,18,945,742,2154,1493,0
2,19,945,742,2202,897,0
2,20,945,742,699,1621,0
2,21,945,742,2574,2660,0
2,22,945,742,2278,2399,0
2,23,945,742,35,285,0
2,24,945,742,61,2982,0
2,25,945,742,1572,2827,0
2,26,945,742,1399,2351,0
2,27,945,742,962,2990,0
2,28,945,742,2667,1049,0
2,29,945,742,345,28,0
2,30,945,742,843,1060,0
2,31,945,742,230,720,0
2,32,945,742,2851,1327,0
2,33,945,742,2858,5,0
2,34,945,742,2325,443,0
2,35,945,742,1775,1383,0
2,36,945,742,1095,863,1
2,37,945,742,2862,616,0
2,38,945,742,353,2995,0
2,39,945,742,2287,1619,0
2,40,945,742,1857,2719,0
2,41,945,742,1633,84,0
2,42,945,742,1891,2492,0
2,43,945,742,796,377,0
2,44,945,742,1304,37,0
2,45,945,742,2511,739,0
2,46,945,742,2643,2389,0
2,47,945,742,2330,461,0
2,48,945,742,2478,1857,0
2,49,945,742,1718,581,0
2,50,945,742,1789,2077,0
2,51,945,742,1404,1835,0
2,52,945,742,848,916,0
2,53,945,742,1882,1764,0
2,54,945,742,1722,1035,0
2,55,945,742,1492,625,0
2,56,945,742,356,1658,0
2,57,945,742,2604,2937,0
2,58,945,742,2200,814,0
2,59,945,742,1497,734,0
2,60,945,742,297,1147,0
2,61,945,742,2653,268,0
2,62,945,742,161,299,0
2,63,945,742,1726,2023,0
2,64,945,742,1063,252,0
2,65,945,742,1253,1981,0
2,66,945,742,1209,1503,0
2,67,945,742,1114,1346,0
2,68,945,742,1392,1357,0
2,69,945,742,2979,2849,0
2,70,945,742,2459,1090,0
2,71,945,742,2981,2378,0
2,72,945,742,2195,2764,0
2,73,945,742,417,1839,0
2,74,945,742,124,2564,0
2,75,945,742,245,2634,0
2,76,945,742,657,752,0
2,77,945,742,739,1951,0
2,78,945,742,2653,514,0
2,79,945,742,1557,2819,0
2,80,945,742,1586,854,0
2,81,945,742,914,1627,0
2,82,945,742,815,1199,0
2,83,945,742,1126,130,0
2,84,945,742,1684,325,0
2,85,945,742,1585,158,0
2,86,945,742,2879,631,0
2,87,945,742,2282,2259,0
2,88,945,742,1693,810,0
2,89,945,742,2754,1322,0
2,90,945,742,1856,333,0
2,91,945,742,2536,1787,0
2,92,945,742,2092,606,0
2,93,945,742,2494,772,0
2,94,945,742,753,653,0
2,95,945,742,2323,1915,0
2,96,945,742,2654,1285,0
