from_node,to_node,from_x,from_y,to_x,to_y,is_in_tour
0,1,1194,2821,1239,937,0
0,2,1194,2821,1630,860,0
0,3,1194,2821,1774,1260,0
0,4,1194,2821,1374,2630,0
0,5,1194,2821,2490,2442,0
0,6,1194,2821,522,2071,0
0,7,1194,2821,2731,1670,0
0,8,1194,2821,1284,1856,0
0,9,1194,2821,1619,447,0
0,10,1194,2821,2969,156,0
0,11,1194,2821,1972,2032,0
0,12,1194,2821,430,1374,0
0,13,1194,2821,126,2567,0
0,14,1194,2821,1881,496,0
0,15,1194,2821,1295,2628,0
0,16,1194,2821,148,1592,0
0,17,1194,2821,1567,910,0
0,18,1194,2821,2696,193,0
0,19,1194,2821,426,827,0
0,20,1194,2821,2221,1852,0
0,21,1194,2821,1693,2382,0
0,22,1194,2821,1775,1781,0
0,23,1194,2821,2950,2743,0
0,24,1194,2821,1007,2283,0
0,25,1194,2821,747,570,0
0,26,1194,2821,1997,175,0
0,27,1194,2821,764,720,0
0,28,1194,2821,897,1044,0
0,29,1194,2821,2790,420,0
0,30,1194,2821,2320,1704,0
0,31,1194,2821,2445,928,0
0,32,1194,2821,29,416,0
0,33,1194,2821,750,2373,0
0,34,1194,2821,2208,627,0
0,35,1194,2821,1816,2028,0
0,36,1194,2821,1774,658,0
0,37,1194,2821,1083,2990,1
0,38,1194,2821,2723,899,0
0,39,1194,2821,1126,545,0
0,40,1194,2821,1509,2434,0
0,41,1194,2821,918,1858,0
0,42,1194,2821,170,2143,0
0,43,1194,2821,2584,2074,0
0,44,1194,2821,326,2826,0
0,45,1194,2821,2327,1323,0
0,46,1194,2821,1392,61,0
0,47,1194,2821,341,2344,0
0,48,1194,2821,100,1998,0
0,49,1194,2821,2713,2280,0
0,50,1194,2821,1465,121,0
0,51,1194,2821,1977,1846,0
0,52,1194,2821,816,2896,0
0,53,1194,2821,1226,738,0
0,54,1194,2821,469,1698,0
0,55,1194,2821,422,2101,0
0,56,1194,2821,1186,212,0
0,57,1194,2821,203,1918,0
0,58,1194,2821,2006,809,0
1,0,1239,937,1194,2821,0
1,2,1239,937,1630,860,0
1,3,1239,937,1774,1260,0
1,4,1239,937,1374,2630,0
1,5,1239,937,2490,2442,0
1,6,1239,937,522,2071,0
1,7,1239,937,2731,1670,0
1,8,1239,937,1284,1856,0
1,9,1239,937,1619,447,0
1,10,1239,937,2969,156,0
1,11,1239,937,1972,2032,0
1,12,1239,937,430,1374,0
1,13,1239,937,126,2567,0
1,14,1239,937,1881,496,0
1,15,1239,937,1295,2628,0
1,16,1239,937,148,1592,0
1,17,1239,937,1567,910,0
1,18,1239,937,2696,193,0
1,19,1239,937,426,827,0
1,20,1239,937,2221,1852,0
1,21,1239,937,1693,2382,0
